Accident Ref.,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
1150030969,CITY OF LONDON,0,531850,181710,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150030972,CITY OF LONDON,0,532810,180870,1,3 Pedestrian,1 Male,25-59,57,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1150030975,CITY OF LONDON,0,533245,181510,1,1 Driver/Rider,1 Male,25-59,34,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1150031496,CITY OF LONDON,0,531780,181500,1,3 Pedestrian,2 Female,25-59,56,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1150031510,CITY OF LONDON,0,533060,181437,1,1 Driver/Rider,2 Female,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150031523,CITY OF LONDON,0,532850,180850,1,3 Pedestrian,1 Male,0-15,0,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150031538,CITY OF LONDON,0,533220,180940,1,3 Pedestrian,1 Male,60+,61,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150031762,CITY OF LONDON,0,533600,181170,1,3 Pedestrian,1 Male,25-59,35,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150031832,CITY OF LONDON,0,533420,181060,1,3 Pedestrian,1 Male,Unknown,0,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1150031836,CITY OF LONDON,0,532693,181148,1,3 Pedestrian,2 Female,25-59,32,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1150031884,CITY OF LONDON,0,532970,180960,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1150031941,CITY OF LONDON,0,531940,181350,1,1 Driver/Rider,1 Male,60+,79,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1150031941,CITY OF LONDON,0,531940,181350,2,2 Passenger,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1150032089,CITY OF LONDON,0,531630,181190,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150032104,CITY OF LONDON,0,532170,181560,1,1 Driver/Rider,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1150032250,CITY OF LONDON,0,531340,181400,4,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
1150032250,CITY OF LONDON,0,531340,181400,2,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1150032250,CITY OF LONDON,0,531340,181400,3,1 Driver/Rider,1 Male,60+,66,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
1150032250,CITY OF LONDON,0,531340,181400,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1150032289,CITY OF LONDON,0,531660,180930,1,3 Pedestrian,1 Male,Unknown,0,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
