"Resident 
within this area",W2 2TT,W2 2TT,51.51349,-0.17207,"Increase greening and biodiversity (e.g. trees, planters etc);Increase 
opportunities for community activity and a thriving high street ;Avoid 
increases in motor vehicle journey 
times within the area;","Strongly 
negative",,Once or twice a week,"Visit bars / pubs / 
restaurants;Visit 
caf�s;Spend time in the area e.g. sitting in public space areas;I cut through the area when travelling to another place;","Regular farmers� market;Regular street food market;Seasonal / specialist market (e.g. Christmas market or antiques 
market);Cultural / artistic / musical events;",I don�t know;,Walking,Private car,
"Resident 
within this area",W22AT,W22AT,51.51333,-0.16743,"Reduce cut through traffic and 
congestion;Improve local air quality 
;Increase 
opportunities for community activity and a thriving high street ;","Mostly 
negative",,Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Visit bars / pubs / restaurants;Visit 
caf�s;Use take-away food services;Spend time in the area e.g. sitting in public space areas;",Outdoor dining;Regular street food market;,Seating / benches;Creating more space for outdoor dining;Green spaces/ planting;,Walking,Bus,I live in Albion Close and the only traffic exits from my area are via the Bayswater Road. The right turns from Clarendon Place and Hyde Park Street are extremely dangerous. Some form of traffic control lights are essential to make driving safer
"Resident 
within this area",W2 2YQ,W2 2YQ,51.51337,-0.16555,"Avoid increases in motor vehicle 
journey times within the area;","Mostly 
negative","As a cyclist, I am appreciative of the cycle works but the cycle lane works around Lancaster Gate have considerably slowed Westbound traffic on Hyde Park Place and Bayswater Road. There are usually traffic jams. 
Consequently, the best way Westbound from St. George's Fields is via Sussex Gardens. 
From St George's Fields to the North to the A40 or A41 the best way is also via Sussex Gardens. 
The plans would force Northbound traffic from St George's Fields to go via Albion Street to Bayswater Road to traffic jams on Bayswater Road because of the bus lane and Marble Arch and then slow traffic on Edgware Road going North. 
Going West via Hyde Park Place is 
dangerous. There are usually flowers left at the junction by the bereaved. And then it is slow given the single lane as a result of the cycle lane. 
SOLUTION 
Opening up the green spot ""No entry in both directions"" between Hyde Park Street and Hyde Park Crescent would considerably facilitate Northbound and Westbound traffic from St George's Fields.",Less than once a month,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon etc);I cut through the area when travelling to 
another place;",An awning and smooth floor to allow tango dancing / tea dancing and other semi-sheltered activities https://www.youtube.com/watch ?v=-Qa6IYU3Yio;Cultural / artistic / musical events;,Outdoor events area;,Bus,Walking,
"Resident 
within this area",W2 3RE,W2 3RE,51.51431,-0.17599,"Avoid increases in motor vehicle 
journey times within the area;Avoid 
unforeseen 
consequences;","Strongly 
negative","Traffic is still going to have to move onto and off the main connecting roads. 
It is going to increase traffic down previously quiet streets. 
In our street (Conduit Mews), flagrant abuse of the one way flow occurs. The front doors open onto the street and it is only a matter 
of time before a fast-moving car, van or scooter hits a child or infirm adult.",Every day,"I cut through the area when travelling to 
another place;",I don�t support any change in the area;,"I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;","Bike, Scooter and car.","Bike, scooter and car",This is a deplorable scheme and will mean misery to everyone except those in the protected areas like Tony Blair and any other MP's who live in a very expensive area of London.
"Resident in Westminster, but not in 
this area",w1h 7ns,w1h 7ns,,,"Avoid increases in motor vehicle 
journey times within the area;Improve local air quality 
;Improve 
accessibility for the most vulnerable users;","Strongly 
negative","I have issues that private hire vehicles who need to get to certain areas within these proposed changes, they will no longer be 
able too as they will not have access to them. you will be letting vulnerable people specifically pickup spots like Saint Marys Hospital, will lose the option of taking private hire transportation within this area. Connaught Village is a vital back road that need to be kept open to regular traffic. cutting it off only pushes CO2 emisions to other areas which contradict your initial intention. the Main road leading to Marble Arch is already heavily congested and forcing even more cars will increase pollution and lower quality of life for the residents that will have to live with this increase. these proposals only support one side and punishes motorists. I believe this will only anger residents and I do not believe you have the full support of this area. I urge you to reconsider these porposals and think again as this will certainly wouldn't work in reality.",Every day,"I cut through the area when travelling to 
another place;",I don�t support any change in the area;,"Water 
fountain;Repurposing the red telephone box;Bicycle parking (e.g. stands or hangars);",Taxi / private hire vehicle,I am not a resident in the area,"I believe that this shouldn't go ahead, as I have mentioned above, Connaught Street is a vital back road which many traders use, taxi/private hire use and other motorists. this place has very lower numbers of foot traffic anyway and it makes no sense to punish those that need to use this road. I believe that maybe putting timed restrictions on certain roads will be helpful when times are busy the both sides can enjoy the space. Pread Street is also a vital road where both traders and Private hire vehicles need to use for work and it seems that you do not care what their needs are. these people shouldn't be punished for a few that live there. this should remain open so that you do not increase the burden on them. Private hire vehicles will lose access to the hospital and can not take vulnerable people back home."
"Resident 
within this area",,,,,"Avoid increases in motor vehicle 
journey times within the area;School 
buses access;","Strongly 
negative","Issues with the access of school buses for children, deliveries, taxis for residents. Do not block Connought St traffic. Smaller streets like Albion St could have automatic gate which residents can open instead. Complete distraction to the local community and working people incl.key workers and families which children especially in the time of covid - wrong time, wrong scope - driven by minority.",Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Shop for specialist goods and/or services (e.g. art, clothes, 
furniture, property 
agents etc);Visit 
caf�s;Visit bars / pubs / restaurants;Use take away food services;I cut through the area when travelling to another place;",Regular farmers� market;,Seating / benches;Green spaces/ planting;Play space for children;Farmers market;,Taxi / private hire vehicle,Private car,Do not implement ill thought changes during covid. We rely on easy access. There is enough disruption already in this area with main roads reduced to one lanes whilst cycle lanes are dangerous and barely used. The Council and Hyde Park Estate should instead focus on installing CCTVs for our safety instead relying on few local resident�s ones.
"Resident 
within this area",,,,,"Reduce cut through traffic and 
congestion;Lower collision risks and increase streets 
safety;Increase 
greening and 
biodiversity (e.g. trees, planters 
etc);Increase 
opportunities for community activity and a thriving high street ;",Mostly positive,"What is crucially important for the Connaught Village residential area (marked in gold in the map) is that a right turn into Bayswater road will be allowed from Stanhope place. If this is not allowed, then any resident in this area who wants to travel west will have to go all the way around Park Lane to be able to journey west on Bayswater Road. Otherwise the scheme is largely positive but this will be a hugely important aspect that will need to be included.",Between three and six times a week,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Visit bars / pubs / restaurants;Visit caf�s;","Strongly opposed to a street food market, which will likely lead to increase in littering. ;Outdoor dining;Regular farmers� 
market;Seasonal / specialist market (e.g. Christmas market or antiques market);Cultural / artistic / musical events;","Please ensure that 
planned pedestrian 
crossing over Edgeware Road from Connaught Street does get 
implemented as this is a hugely important for safety. ;Creating more space for outdoor 
dining;Green spaces/ planting;Creating safer pedestrian crossings;",Walking,"Taxi / private hire 
vehicle",
"Resident 
within this area",w22ad,w22ad,,,"Improve local air quality ;Lower 
collision risks and increase streets 
safety;Avoid 
increases in motor vehicle journey 
times within the area;",Mostly positive,"There needs to be some north south access for residents. I live in a ""blue"" area and not to head north or to the A40 will be impossible without exiting on to Hyde Park place and then up Edgeware road via Marble Arch. These are always the MOST congested area and the new plan now forces me to join those queues, adding waiting times, pollution and congestion when I am not even going that way. 
Forcing all the Blue residents to only exit south is not a good idea. There needs to be a North exit too.",Every day,"Visit bars / pubs / 
restaurants;Visit 
caf�s;Use take-away food services;","Outdoor dining;Regular farmers� market;Regular street food market;Seasonal / specialist 
market (e.g. Christmas market or antiques market);","Outdoor events 
area;Public art;",Cycling,Private car,The overall idea is good but there needs to be some exceptions for residents crossing the estate vs cut through traffic. Disadvantaging all the residents because of the actions of those that do not live here does not seem rational.
"Resident 
within this area",W2 2YG,W2 2YG,51.51396,-0.16508,"Improve local air quality ;Avoid 
increases in motor vehicle journey 
times within the area;","Strongly 
negative","It seems the proposed scheme would significantly increase journey times for residents and further add to congestion 
outside the LTN. For example, I live in St George's Fields (in the ""blue"" zone). Unless I am misreading the map, when coming from 
the north-east (including Marylebone and the A40), I would be forced to continue on Edgware Road all the way down to Marble 
Arch, continue all the way around the traffic island and then enter from Bayswater Road. Edgware Road is already severely congested, 
so this would easily add 10 minutes to my journey time; and I can only assume that the congestion around the proposed LTN would be even worse after its implementation. Forcing traffic to take non-direct routes through congested roads seems 
counterproductive to the declared intention of reducing emissions and improving air quality. 
The above concern could be addressed, if we must go ahead with this experiment, by consolidating the three proposed zone into a single zone where all residents in the Paddington/HPE area would be allowed access. 
Further, I have concerns about legitimate access for non-residents. I have heard stories from residents of other recently 
implemented LTN zones who suddenly found it very difficult to convince minicab drivers to enter the zone to pick them up; I would also be concerned about deliveries from Amazon, Waitrose, Farmdrop, Deliveroo etc.",Once or twice a week,"I cut through the area when travelling to 
another place;Visit 
caf�s;Visit bars / pubs / restaurants;","I am happy with the current offer at Connaught Village and do not think it needs any further 
activities;","I don�t think the area needs any further 
infrastructure or physical change, I like it the way it is;",Walking,"Taxi / private hire 
vehicle",
"Resident 
within this area",w22nx,w22nx,,,"Reduce cut through traffic and 
congestion;","Strongly 
negative","The following objectives have been proposed to radically improve the space at the junction of Connaught Street and Kendal Street by: 
Create a truly green Connaught Village with biodiverse planting and SUDs-With NOT REQUIRED -with Park 50 m away this is unnecessary expenditure 
Provide a place for residents to meet, sit and have access to free drinking water-NOT REQUIRED_with CORONAVIRUS this is a 
breach of Government law and is anti social distancing. 
Encourage pedestrian/cycle travel to reduce emissions and improve air quality-NOT necessary 
Help reinforce an identity for Connaught Village Green-Who has asked for this ?-as a resident i have not!!!!!!! NO CONSULTATION SO WHAT GIVES YOU THE RIGHT TO IMPLEMENT SUCH CHANGES? 
Allow the village green to extend to accommodate programmed activities-Who has asked for this-as a resident i have not!!!!!!! NO CONSULTATION-SO WHAT GIVES YOU THE RIGHT TO IMPLEMENT SUCH CHANGES? 
Improve visibility and accessibility from Hyde Park-THIS IS IN NO WAY ACHIEVED 
Two designs have been drafted to consider options with or without the implementation of the Low Traffic Neighbourhood._WHERE IS THE OPTION WITHOUT Implementing this ridiculous scheme?",Every day,"Shop for household essentials (e.g. groceries, pharmacy, DIY, laundry, barber/hair saloon 
etc);Visit bars / pubs / restaurants;Visit caf�s;",I don�t support any change in the area;,"WE ARE IN THE MIDDLE OF A PANDEMIC-GET REAL;I don�t think the area needs any further infrastructure or physical change, I like it the way it is;",Private car,Private car,"THIS SCHEME IS A COMPLETE JOKE AND DOES NOT ADDRESS ANY REAL INTERESTS OF THE RESIDENTS 
THE CHURCH COMMISSIONERS ARE NOT RESIDENTS> MIND YOUR OWN BUSINESS AND LEAVE WELL ENOUGH ALONE"
